domain,domain_rating,traffic_domain,links_to_target,dofollow_links,is_spam,ip_source
rankwares.shop,0.7,0,6,0,1,104.21.91.120
organicrankdirect.shop,28.0,0,6,0,1,104.21.4.5
rankcart.shop,0.8,0,6,0,1,172.67.192.134
seo-anomaly-d-5.xyz,0.1,0,6,0,1,172.67.174.32
googleseocraft.shop,0.0,0,6,0,1,172.67.223.91
pbnseolinks.shop,53.0,0,6,0,1,104.21.75.217
blog-a-story.com,48.0,0,6,6,1,104.21.12.92
pageseocollective.shop,0.0,0,6,0,1,104.21.47.215
seo-anomaly-d-3.xyz,0.1,0,6,0,1,172.67.128.39
seo-anomaly-d-6.xyz,0.1,0,6,0,1,104.21.21.149
seowares.shop,0.7,0,6,0,1,172.67.153.127
organicranksystems.shop,28.0,0,6,0,1,172.67.136.77
googleseoauthority.shop,0.0,0,6,0,1,104.21.91.152
fare-blog.com,42.0,0,6,6,1,104.21.24.161
linkcollective.shop,28.0,0,6,0,1,104.21.95.143
linkstock.shop,1.3,0,6,0,1,104.21.3.214
backlinkorbit.shop,0.8,0,6,0,1,172.67.136.134
linkseoinsights.shop,0.0,0,6,0,1,172.67.181.74
isblog.net,52.0,0,6,6,1,172.67.221.209
seogo.shop,0.7,0,6,0,1,172.67.152.104
organicrankexpress.shop,0.0,0,6,0,1,172.67.150.15
seo-anomaly-linkbuilding.space,4.4,0,6,0,1,172.67.148.241
imblogs.net,47.0,0,6,6,1,104.21.27.182
toprankprovider.shop,0.0,0,6,0,1,104.21.31.214
seoboostexchange.shop,0.0,0,6,0,1,104.21.25.16
seo-anomaly-d-7.xyz,0.1,0,6,0,1,172.67.223.207
seo-anomaly-d-10.xyz,0.1,0,6,0,1,104.21.34.231
rankdepot.shop,0.7,0,6,0,1,172.67.182.233
rankgrowthservice.shop,0.0,0,6,0,1,172.67.179.110
allinone.co.in,7.0,0,6,0,1,92.249.46.138
domainrankacademy.shop,28.0,0,6,0,1,104.21.81.26
