Referring Domain,In Semrush Audit,In Ahrefs Live,Current Action,Link-Level Rows (new),Dead/Unreachable Links,Redirect Hosts,Brand-Owned Hop,Ahrefs Traffic,Ahrefs Positions,Ahrefs Follow Links,Ahrefs is_spam,IP,Generated Family
affsyn.com,True,True,KEEP_AFFILIATE_RETAIN,1,1,,False,0,1,2,False,46.202.196.75,
afundirectory.com,True,True,DISAVOW,1,0,,False,0,0,4,True,172.67.130.29,
ageeksblog.com,False,True,NOT_AUDITED,0,0,,False,0,0,13,True,104.21.83.197,
agelessstride.com,True,True,REVIEW_MANUALLY,2,0,,False,0,0,11,False,208.123.116.145,
agendacover.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,1755,6,1,False,172.67.138.207,
agile-footer-link-system-link-baron.store,False,True,NOT_AUDITED,0,0,,False,0,0,0,True,172.67.219.83,
agilitypr.com,True,False,KEEP_AFFILIATE_RETAIN,4,0,nutropic.com,False,,,0,False,,
aglocodirectory.com,True,True,DISAVOW,2,0,,False,0,0,4,True,172.67.168.244,
agnell.pics,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,172.67.129.3,
agricoze.com,True,False,KEEP_AFFILIATE_RETAIN,1,1,,False,,,0,False,,
agroinsursas.com,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,0,0,0,True,190.8.176.51,
ahealthplace.com,False,True,NOT_AUDITED,0,0,,False,0,0,1,False,74.208.236.184,
ahrefs-links.com,False,True,NOT_AUDITED,0,0,,False,0,0,2,False,167.86.98.5,
aidevi.com,True,False,REVIEW_MANUALLY,29,0,,False,,,0,False,,
aihcp.net,True,True,DISAVOW,11,0,,False,9540,2202,6,False,198.46.86.124,
aiinsights.app,False,True,NOT_AUDITED,0,0,,False,0,0,1,False,216.198.79.65,
aiinvestorpicks.com,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,195.200.9.77,
airduct-repair-support-line.xyz,False,True,NOT_AUDITED,0,0,,False,0,0,2,False,104.21.8.66,
airecu.pics,False,True,NOT_AUDITED,0,0,,False,0,0,0,False,172.67.175.171,
ajax-directory.com,True,True,DISAVOW,0,0,,False,0,0,2,True,104.21.43.185,
akfit.ir,True,True,KEEP_AFFILIATE_RETAIN,0,0,,False,29,15,1,False,89.39.208.53,
alazharcilacap.sch.id,True,False,KEEP_AFFILIATE_RETAIN,1,0,,False,,,0,False,,
alexfergus.com,True,True,KEEP_AFFILIATE_RETAIN,26,0,aferg.co;testolabpro.com,True,838,177,6,False,172.66.40.165,
algolinkers.com,True,True,REVIEW_MANUALLY,3,0,nutropic.com,False,0,0,0,False,172.67.178.209,
alianzaestrategica.edu.pe,True,False,KEEP_AFFILIATE_RETAIN,2,0,,False,,,0,False,,
alibaba.com,True,False,KEEP_AFFILIATE_RETAIN,31,2,,False,,,0,False,,
alizyme.com,True,True,KEEP_AFFILIATE_RETAIN,2,0,,False,0,0,9,True,195.250.26.52,
alkjnaa.info,False,True,NOT_AUDITED,0,0,,False,0,0,1,True,172.67.145.161,
all-aged-domains.com,True,False,DISAVOW,5,0,dtcx.com;nutropic.com;testolabpro.com,True,,,0,False,,
all4dell.sk,False,True,NOT_AUDITED,0,0,,False,0,0,2,False,195.181.248.52,
allaboutpeoples.com,True,True,KEEP_AFFILIATE_RETAIN,1,0,,False,0,0,1,False,172.67.156.156,
allandabout.com,True,True,KEEP_AFFILIATE_RETAIN,4,0,,False,39,20,2,False,142.93.72.2,
allare.io,True,True,REVIEW_MANUALLY,0,0,,False,0,0,0,True,104.21.47.243,
allbaclinks.com,True,True,DISAVOW,0,0,,False,0,0,0,True,203.161.54.114,
