Referring_Domain,Semrush_AS,nationalfosteringgroup.co.uk,thefca.co.uk,thefosteringnetwork.org.uk,capstonefostercare.co.uk,ispfostering.org.uk,fosterplus.co.uk,fosteringpeople.co.uk,swiisfostercare.com,compassfostering.com,orangegrovefostercare.co.uk
gazettelive.co.uk,56,0,1,0,0,0,0,0,0,0,0
gla.ac.uk,56,0,0,4,0,0,0,0,0,0,0
hulldailymail.co.uk,56,0,0,1,0,0,0,0,0,0,1
plymouthherald.co.uk,56,0,0,0,1,0,0,0,0,0,0
qmul.ac.uk,56,0,0,1,0,0,0,0,0,0,0
dailykos.com,56,0,0,0,0,0,0,1,0,0,0
yorkshireeveningpost.co.uk,55,0,2,0,0,0,0,0,0,0,2
belfastlive.co.uk,55,0,3,4,0,0,0,0,0,0,0
contactout.com,55,0,0,0,0,0,2,0,0,0,0
instituteforgovernment.org.uk,55,0,0,5,0,0,0,0,0,0,0
norfolk.gov.uk,55,0,0,6,0,0,0,0,0,0,0
phys.org,55,0,0,1,0,0,0,0,0,0,0
thestar.co.uk,55,0,0,2,0,0,0,0,1,0,0
chron.com,55,0,0,0,0,0,0,0,0,1,0
coventrytelegraph.net,54,0,0,1,0,0,0,0,0,0,0
hscni.net,54,0,0,12,0,0,0,0,0,0,0
justgiving.com,54,0,0,64,0,0,0,0,0,0,0
liverpool.ac.uk,54,0,0,1,0,0,0,0,0,0,0
podbean.com,54,0,0,11,0,0,0,0,0,0,0
scope.org.uk,54,0,0,1,0,0,0,0,0,0,0
hercampus.com,54,0,0,0,0,0,0,0,0,1,0
amu.edu.pl,53,0,0,1,0,0,0,0,0,0,0
cardiff.ac.uk,53,0,0,12,0,0,0,0,0,0,0
dovepress.com,53,1,0,0,0,0,0,0,0,0,0
hull.ac.uk,53,0,0,3,0,0,0,0,0,0,0
lancashire.gov.uk,53,0,0,6,0,0,0,0,0,0,0
northyorks.gov.uk,53,0,0,2,0,0,0,0,0,0,0
qub.ac.uk,53,0,4,11,0,0,0,0,0,0,0
salford.ac.uk,53,0,0,1,0,0,0,0,0,0,0
strath.ac.uk,53,0,0,1,0,0,0,0,0,0,0
tinybuddha.com,53,0,0,0,0,0,1,0,0,0,0
wilx.com,53,0,0,0,2,0,0,0,0,0,0
bournemouth.ac.uk,52,0,0,54,0,0,0,0,0,0,0
cambridge-news.co.uk,52,0,0,0,0,2,0,0,0,0,0
dorsetcouncil.gov.uk,52,0,0,3,0,0,0,0,0,0,0
mybrightwheel.com,52,0,1,0,0,0,0,0,0,0,0
patsnap.com,52,0,2,0,1,0,3,1,0,0,0
portsmouth.co.uk,52,0,0,2,0,0,0,0,0,0,0
shu.ac.uk,52,0,1,0,0,0,0,0,0,0,0
uea.ac.uk,52,0,0,1,0,0,0,0,0,0,0
