domain,ascore,backlinks,ip,ip_shared_count,country,first_seen,last_seen,current_verdict,reasons
webmit.net,6,2,64.182.35.209,2,us,2026-02-27,2026-04-09,TOXIC,pbn-ip-cluster:64.182.35; very-low-authority(AS6)
firstguestpost.com,5,1,104.21.72.232,2,,2026-08-25,2026-08-25,TOXIC,very-low-authority(AS5); seo/link-scheme-name
archive-hu.com,4,1,172.67.222.64,2,,2026-08-27,2026-08-27,TOXIC,very-low-authority(AS4); weak signal — human QA
australianwebdirectory.shop,3,8,184.168.111.168,2,sg,2026-03-02,2026-03-16,TOXIC,pbn-ip-cluster:184.168.111; very-low-authority(AS3); directory/article/bookmark-spam-name; spam-tld(.shop); foreign-geo-cluster(sg)
1pointweb.net,2,2,64.182.231.108,2,us,2026-03-20,2026-04-09,TOXIC,pbn-ip-cluster:64.182.231; very-low-authority(AS2)
angelinasweb.net,2,2,69.13.0.124,2,us,2026-02-14,2026-04-16,TOXIC,pbn-ip-cluster:69.13.0; very-low-authority(AS2)
articleshub.us,2,2,94.46.114.52,2,se,2026-03-02,2026-04-30,TOXIC,pbn-ip-cluster:94.46.114; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
belistedontop.com,2,1,64.182.253.25,2,us,2026-08-11,2026-08-27,TOXIC,pbn-ip-cluster:64.182.253; very-low-authority(AS2)
bigbusinesseslisting.com,2,1,69.13.1.49,2,us,2026-08-10,2026-08-26,TOXIC,pbn-ip-cluster:69.13.1; very-low-authority(AS2); directory/article/bookmark-spam-name
bizfront.org,2,3,64.182.24.109,2,us,2026-02-22,2026-04-04,TOXIC,pbn-ip-cluster:64.182.24; very-low-authority(AS2)
bonuslinx.com,2,2,64.182.31.53,2,us,2026-03-02,2026-04-12,TOXIC,pbn-ip-cluster:64.182.31; very-low-authority(AS2)
businessesmart.org,2,1,69.13.12.209,2,us,2026-08-23,2026-09-01,TOXIC,pbn-ip-cluster:69.13.12; very-low-authority(AS2)
buzzlisting.org,2,2,69.13.18.145,2,us,2026-03-04,2026-08-26,TOXIC,pbn-ip-cluster:69.13.18; very-low-authority(AS2); directory/article/bookmark-spam-name
coolwebdirectory.com,2,1,69.13.23.108,2,us,2026-08-22,2026-08-31,TOXIC,pbn-ip-cluster:69.13.23; very-low-authority(AS2); directory/article/bookmark-spam-name
directopedia.us,2,2,69.13.113.205,2,us,2026-03-02,2026-04-11,TOXIC,pbn-ip-cluster:69.13.113; very-low-authority(AS2)
directoryhq.net,2,1,188.114.255.21,2,se,2026-02-26,2026-04-08,TOXIC,pbn-ip-cluster:188.114.255; very-low-authority(AS2); directory/article/bookmark-spam-name; foreign-geo-cluster(se)
